Report_Section,Category,Metric,Value
Ownership_Trends_Percent,Pet_Owners,2016,62
Ownership_Trends_Percent,Non_Pet_Owners,2016,38
Ownership_Trends_Percent,Pet_Owners,2019,61
Ownership_Trends_Percent,Non_Pet_Owners,2019,39
Ownership_Trends_Percent,Pet_Owners,2022,69
Ownership_Trends_Percent,Non_Pet_Owners,2022,31
Ownership_Trends_Percent,Pet_Owners,2025,73
Ownership_Trends_Percent,Non_Pet_Owners,2025,27
Ownership_Trends_Millions,Pet_Owners,2016,5.7
Ownership_Trends_Millions,Non_Pet_Owners,2016,3.5
Ownership_Trends_Millions,Pet_Owners,2019,5.9
Ownership_Trends_Millions,Non_Pet_Owners,2019,3.7
Ownership_Trends_Millions,Pet_Owners,2022,6.9
Ownership_Trends_Millions,Non_Pet_Owners,2022,3.1
Ownership_Trends_Millions,Pet_Owners,2025,7.7
Ownership_Trends_Millions,Non_Pet_Owners,2025,2.8
Annual_Spend_AUD,Dogs,Food,1090
Annual_Spend_AUD,Dogs,Veterinary_services,168
Annual_Spend_AUD,Dogs,Products_or_accessories,117
Annual_Spend_AUD,Dogs,Pet_insurance,145
Annual_Spend_AUD,Dogs,Flea_worming_tick_treatments,122
Annual_Spend_AUD,Dogs,Dietary_supplements,124
Annual_Spend_AUD,Dogs,Clipping_grooming,139
Annual_Spend_AUD,Dogs,Training_behaviour_therapy,117
Annual_Spend_AUD,Dogs,Competitions_memberships,97
Annual_Spend_AUD,Dogs,Veterinary_medicines,102
Annual_Spend_AUD,Dogs,Walking,119
Annual_Spend_AUD,Dogs,Alternative_healthcare_treatments,84
Annual_Spend_AUD,Dogs,Boarding_minding,46
Annual_Spend_AUD,Dogs,Transport,50
Annual_Spend_AUD,Cats,Food,884
Annual_Spend_AUD,Cats,Veterinary_services,154
Annual_Spend_AUD,Cats,Products_or_accessories,87
Annual_Spend_AUD,Cats,Pet_insurance,70
Annual_Spend_AUD,Cats,Flea_worming_tick_treatments,102
Annual_Spend_AUD,Cats,Dietary_supplements,84
Annual_Spend_AUD,Cats,Clipping_grooming,58
Annual_Spend_AUD,Cats,Training_behaviour_therapy,61
Annual_Spend_AUD,Cats,Competitions_memberships,19
Annual_Spend_AUD,Cats,Veterinary_medicines,45
Annual_Spend_AUD,Cats,Walking,0
Annual_Spend_AUD,Cats,Alternative_healthcare_treatments,35
Annual_Spend_AUD,Cats,Boarding_minding,34
Annual_Spend_AUD,Cats,Transport,21
